,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
31,10.0,3.0,20.0,0.0,4.745426021896145,-0.3916042145740009,3.0,g3t10,3.0,10.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
32,12.0,3.0,10.0,1.0,5.05457334939711,-0.49681050835292573,1.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
33,12.0,3.0,16.0,0.0,4.690276043686458,-0.26347124325337745,2.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0
34,13.0,3.0,13.0,1.0,4.876057489427018,-0.16444493299698426,2.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0
35,13.0,3.0,11.0,0.0,4.73713485858897,0.35628194579917966,4.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0
36,3.0,4.0,10.0,1.0,4.1040973024393415,-0.2765577543677356,1.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0
37,3.0,4.0,7.0,0.0,6.138509826812992,-0.3076608113842876,2.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0
38,4.0,4.0,9.0,1.0,4.172752612715852,0.3611831804058611,4.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
39,4.0,4.0,7.0,0.0,4.978706889912709,-0.21543993564921562,1.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0
40,5.0,4.0,6.0,1.0,5.186891423132947,0.4606537512418144,2.0,g4t5,4.0,5.0,2.0,3.0,0.0,5.0,4.0,5.0,0.0,3.0,4.0,0.0,0.0
41,5.0,4.0,10.0,0.0,3.7798651032848265,0.3103941651819224,1.0,g4t5,4.0,5.0,2.0,3.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0
42,7.0,4.0,10.0,1.0,4.947916988796669,-0.4914221422884842,5.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
43,7.0,4.0,14.0,0.0,4.727643910523471,0.5337386330110621,5.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
44,8.0,4.0,19.0,1.0,5.368553910213115,-0.42822357674987277,2.0,g4t8,4.0,8.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0
45,8.0,4.0,24.0,0.0,4.6526642675025744,0.35557946999312656,0.0,g4t8,4.0,8.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0
46,9.0,4.0,9.0,1.0,4.207460540754604,0.3989991649239066,1.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,0.0,1.0,0.0
47,9.0,4.0,8.0,0.0,5.860100972330391,-0.4662330926601863,3.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,4.0,5.0,4.0,4.0,0.0,1.0,0.0
48,10.0,4.0,25.0,1.0,4.809011696813572,-0.3205163813919296,0.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,2.0,3.0,4.0,0.0,2.0,1.0
49,10.0,4.0,27.0,0.0,4.800159195973878,-0.3205163813919296,0.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
50,11.0,4.0,12.0,1.0,3.9503836988258265,-0.5265075054296858,2.0,g4t11,4.0,11.0,0.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,0.0,2.0
51,11.0,4.0,10.0,0.0,5.995880905714908,0.44403188491882606,3.0,g4t11,4.0,11.0,0.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,1.0,0.0,1.0
