,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,speaker,bored_with_game,difficult_for_partner_to_speak,contributes_to_successful_completion,engaged_in_game,gives_encouragement,making_self_clear,planning_what_to_say,dislikes_partner
36,3.0,4.0,10.0,0.0,4.10409730244,-0.280361730578,1.0,g4t3,4.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,1.0
37,3.0,4.0,7.0,1.0,6.13850982681,-0.303454576495,2.0,g4t3,4.0,3.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0
38,4.0,4.0,9.0,0.0,4.17275261272,0.338592862303,1.0,g4t4,4.0,4.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,3.0,0.0
39,4.0,4.0,7.0,1.0,4.97870688991,0.287119256099,0.0,g4t4,4.0,4.0,1.0,0.0,0.0,5.0,5.0,3.0,5.0,3.0,0.0
40,5.0,4.0,6.0,0.0,5.18689142313,0.384688128185,2.0,g4t5,4.0,5.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,1.0,0.0
41,5.0,4.0,10.0,1.0,3.77986510328,-0.273603086036,2.0,g4t5,4.0,5.0,1.0,0.0,4.0,5.0,5.0,3.0,4.0,0.0,0.0
42,7.0,4.0,10.0,0.0,4.9479169888,-0.510869950655,5.0,g4t7,4.0,7.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,4.0,0.0
43,7.0,4.0,14.0,1.0,4.72764391052,0.600369034321,5.0,g4t7,4.0,7.0,1.0,0.0,0.0,5.0,5.0,3.0,5.0,3.0,0.0
44,8.0,4.0,19.0,0.0,5.36855391021,-0.413781356318,2.0,g4t8,4.0,8.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,2.0
45,8.0,4.0,24.0,1.0,4.6526642675,0.319532613835,0.0,g4t8,4.0,8.0,1.0,1.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0
46,9.0,4.0,9.0,0.0,4.20746054075,0.632865909493,1.0,g4t9,4.0,9.0,0.0,1.0,0.0,5.0,5.0,4.0,4.0,4.0,0.0
47,9.0,4.0,8.0,1.0,5.86010097233,-0.480724817393,3.0,g4t9,4.0,9.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,0.0,0.0
48,10.0,4.0,25.0,0.0,4.80901169681,-0.399249511145,0.0,g4t10,4.0,10.0,0.0,0.0,1.0,5.0,5.0,4.0,5.0,3.0,0.0
49,10.0,4.0,27.0,1.0,4.80015919597,-0.399249511145,0.0,g4t10,4.0,10.0,1.0,2.0,0.0,5.0,2.0,4.0,5.0,3.0,1.0
50,11.0,4.0,12.0,0.0,3.95038369883,-0.528975022516,2.0,g4t11,4.0,11.0,0.0,0.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0
51,11.0,4.0,10.0,1.0,5.99588090571,0.444982691082,3.0,g4t11,4.0,11.0,1.0,0.0,1.0,5.0,5.0,3.0,3.0,2.0,2.0
52,12.0,4.0,10.0,0.0,4.48510319372,-0.382445160002,1.0,g4t12,4.0,12.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0
53,12.0,4.0,22.0,1.0,4.28427689156,-0.23143457393,0.0,g4t12,4.0,12.0,1.0,1.0,2.0,5.0,3.0,4.0,5.0,4.0,0.0
54,13.0,4.0,16.0,0.0,4.15241920257,0.558778708645,3.0,g4t13,4.0,13.0,0.0,0.0,1.0,5.0,5.0,3.0,5.0,4.0,1.0
55,13.0,4.0,15.0,1.0,5.64436115092,-0.425521696693,2.0,g4t13,4.0,13.0,1.0,0.0,0.0,5.0,5.0,3.0,5.0,3.0,0.0
56,3.0,5.0,9.0,0.0,4.81646830089,0.321430294166,0.0,g5t3,5.0,3.0,0.0,2.0,0.0,3.0,5.0,3.0,2.0,1.0,0.0
57,3.0,5.0,8.0,1.0,4.83408610796,0.761644535154,4.0,g5t3,5.0,3.0,1.0,0.0,0.0,5.0,5.0,3.0,4.0,4.0,1.0
58,4.0,5.0,9.0,0.0,4.47217918314,0.68818993253,3.0,g5t4,5.0,4.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0
59,4.0,5.0,8.0,1.0,4.29552814043,-0.438246829272,1.0,g5t4,5.0,4.0,1.0,2.0,0.0,4.0,3.0,3.0,3.0,2.0,0.0
60,9.0,5.0,16.0,0.0,3.92920404796,-0.391292012574,3.0,g5t9,5.0,9.0,0.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0
61,9.0,5.0,13.0,1.0,4.38944045221,0.377582289825,4.0,g5t9,5.0,9.0,1.0,1.0,0.0,5.0,4.0,2.0,4.0,2.0,1.0
62,11.0,5.0,8.0,0.0,4.50295033306,-0.250777106266,2.0,g5t11,5.0,11.0,0.0,0.0,1.0,5.0,5.0,5.0,4.0,4.0,0.0
63,11.0,5.0,7.0,1.0,4.69877877021,0.657359775346,2.0,g5t11,5.0,11.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,1.0,1.0
64,13.0,5.0,14.0,0.0,4.65195897702,0.480209495831,4.0,g5t13,5.0,13.0,0.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,0.0
65,13.0,5.0,12.0,1.0,5.05771069174,0.389274168661,0.0,g5t13,5.0,13.0,1.0,1.0,0.0,4.0,3.0,3.0,3.0,2.0,0.0
66,14.0,5.0,6.0,0.0,5.01964383834,0.79453407808,2.0,g5t14,5.0,14.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0
67,14.0,5.0,12.0,1.0,4.08585177539,0.404780613207,0.0,g5t14,5.0,14.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,4.0,0.0
68,3.0,6.0,8.0,0.0,3.39354296861,-0.374872782432,2.0,g6t3,6.0,3.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,4.0,0.0
69,3.0,6.0,5.0,1.0,3.93988367887,-0.09926988946,2.0,g6t3,6.0,3.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0
70,4.0,6.0,12.0,0.0,4.60862946479,0.764829837404,2.0,g6t4,6.0,4.0,0.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,1.0
71,4.0,6.0,5.0,1.0,6.46579593948,-0.464957443667,1.0,g6t4,6.0,4.0,1.0,5.0,0.0,3.0,0.0,2.0,5.0,3.0,4.0
72,5.0,6.0,7.0,0.0,4.48598756923,0.450799178834,5.0,g6t5,6.0,5.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,2.0,0.0
73,5.0,6.0,15.0,1.0,3.62318600615,0.11903893091,5.0,g6t5,6.0,5.0,1.0,1.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0
74,6.0,6.0,12.0,0.0,5.46455656468,0.584705811064,3.0,g6t6,6.0,6.0,0.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0
75,6.0,6.0,17.0,1.0,4.01265953375,0.389740152282,2.0,g6t6,6.0,6.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,0.0
76,7.0,6.0,8.0,0.0,5.28684627284,-0.614480735005,1.0,g6t7,6.0,7.0,0.0,1.0,0.0,5.0,4.0,5.0,4.0,3.0,0.0
77,7.0,6.0,9.0,1.0,4.91556373429,0.69189800374,1.0,g6t7,6.0,7.0,1.0,2.0,1.0,4.0,5.0,4.0,4.0,3.0,0.0
78,8.0,6.0,14.0,0.0,4.93456891476,-0.356624191097,2.0,g6t8,6.0,8.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,3.0,1.0
79,8.0,6.0,23.0,1.0,5.15219190964,-0.480351496357,3.0,g6t8,6.0,8.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0
80,9.0,6.0,10.0,0.0,3.54839772862,0.302880670614,3.0,g6t9,6.0,9.0,0.0,1.0,0.0,4.0,5.0,3.0,4.0,4.0,1.0
81,9.0,6.0,6.0,1.0,4.89399262405,-0.254142909324,4.0,g6t9,6.0,9.0,1.0,4.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0
82,10.0,6.0,9.0,0.0,4.4878571999,-0.438513798024,4.0,g6t10,6.0,10.0,0.0,0.0,1.0,5.0,5.0,4.0,5.0,4.0,0.0
