,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
31,10.0,3.0,20.0,0.0,129.63849445867857,0.5386338847683703,4.0,g3t10,3.0,10.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
32,12.0,3.0,10.0,1.0,188.5827015733304,0.5304967002007261,1.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
33,12.0,3.0,16.0,0.0,131.89540481164371,0.45555542742195476,4.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0
34,13.0,3.0,13.0,1.0,195.22581452035817,-0.33470241519223726,6.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0
35,13.0,3.0,11.0,0.0,142.88154243097492,0.5815762917537988,3.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0
36,3.0,4.0,10.0,1.0,91.31873748201401,-0.49173191460988025,3.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0
37,3.0,4.0,7.0,0.0,104.64034720778426,0.186619747587504,1.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0
38,4.0,4.0,9.0,1.0,92.83483382285455,0.5580163427600527,0.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
39,4.0,4.0,7.0,0.0,114.72981446621903,0.5580163427600527,0.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0
40,5.0,4.0,6.0,1.0,94.5337259452943,0.5097548676477698,3.0,g4t5,4.0,5.0,2.0,3.0,0.0,5.0,4.0,5.0,0.0,3.0,4.0,0.0,0.0
41,5.0,4.0,10.0,0.0,104.91024505566868,0.4245813989547734,5.0,g4t5,4.0,5.0,2.0,3.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0
42,7.0,4.0,10.0,1.0,95.99668054357102,0.4747769897232469,4.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
43,7.0,4.0,14.0,0.0,106.13822974479208,-0.41976461779454705,5.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
44,8.0,4.0,19.0,1.0,94.96465533946535,-0.26029142809056804,2.0,g4t8,4.0,8.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0
45,8.0,4.0,24.0,0.0,109.60645162016242,0.3786102083458506,3.0,g4t8,4.0,8.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0
46,9.0,4.0,9.0,1.0,100.76911455719511,-0.32682294408929835,2.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,0.0,1.0,0.0
47,9.0,4.0,8.0,0.0,102.69556604222188,0.3178180389226723,3.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,4.0,5.0,4.0,4.0,0.0,1.0,0.0
48,10.0,4.0,25.0,1.0,98.09489630481731,0.27583106907926513,5.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,2.0,3.0,4.0,0.0,2.0,1.0
49,10.0,4.0,27.0,0.0,108.923520070015,0.2707831564215263,4.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
50,11.0,4.0,12.0,1.0,100.96421638919662,0.5427786883003171,0.0,g4t11,4.0,11.0,0.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,0.0,2.0
51,11.0,4.0,10.0,0.0,113.21596307599799,0.5735049942483692,1.0,g4t11,4.0,11.0,0.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,1.0,0.0,1.0
52,12.0,4.0,10.0,1.0,101.07837158324945,-0.33930020687756396,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,0.0
53,12.0,4.0,22.0,0.0,101.8159541023419,0.3235953974231795,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0
54,13.0,4.0,16.0,1.0,98.21263255417055,-0.3919033669904485,6.0,g4t13,4.0,13.0,0.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
55,13.0,4.0,15.0,0.0,101.99296714805446,0.34849661698581225,5.0,g4t13,4.0,13.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
56,3.0,5.0,9.0,1.0,150.33677082503897,0.6687181494429119,1.0,g5t3,5.0,3.0,3.0,2.0,0.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,1.0
57,3.0,5.0,8.0,0.0,128.48310773008802,-0.3365664292276653,1.0,g5t3,5.0,3.0,3.0,2.0,0.0,3.0,2.0,5.0,1.0,3.0,0.0,2.0,0.0
58,4.0,5.0,9.0,1.0,158.3292517297509,-0.5683059768072041,5.0,g5t4,5.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0
59,4.0,5.0,8.0,0.0,144.35962358152074,-0.1456474415533311,4.0,g5t4,5.0,4.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0
60,9.0,5.0,16.0,1.0,163.25892722946674,0.3918335759700413,1.0,g5t9,5.0,9.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0
61,9.0,5.0,12.0,0.0,129.3139935116418,-0.29102769948686597,1.0,g5t9,5.0,9.0,4.0,3.0,5.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0
62,11.0,5.0,8.0,1.0,167.25134919662753,0.3980223721675986,1.0,g5t11,5.0,11.0,0.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0
63,11.0,5.0,7.0,0.0,128.24687518832314,0.5219124066086956,3.0,g5t11,5.0,11.0,0.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,0.0,0.0
64,13.0,5.0,14.0,1.0,162.9723514322009,0.2906435426748343,1.0,g5t13,5.0,13.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0
65,13.0,5.0,12.0,0.0,137.9571014344742,0.40572375650377673,5.0,g5t13,5.0,13.0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,0.0
66,14.0,5.0,6.0,1.0,145.31066251715427,-0.4931110251341433,4.0,g5t14,5.0,14.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,0.0
67,14.0,5.0,12.0,0.0,112.97696989537297,-0.23891045428390598,0.0,g5t14,5.0,14.0,2.0,2.0,4.0,0.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0
68,3.0,6.0,8.0,1.0,109.36247841331216,0.6364678103811235,2.0,g6t3,6.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0
69,3.0,6.0,5.0,0.0,151.8077294686752,-0.5413480441982276,1.0,g6t3,6.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
70,4.0,6.0,12.0,1.0,101.80156279809093,-0.5508088075117809,5.0,g6t4,6.0,4.0,4.0,1.0,4.0,3.0,5.0,0.0,3.0,2.0,0.0,5.0,4.0
71,4.0,6.0,5.0,0.0,152.1957723203079,-0.42644139600248454,2.0,g6t4,6.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,0.0,1.0,1.0
72,5.0,6.0,7.0,1.0,110.64996738627184,0.544986007953617,6.0,g6t5,6.0,5.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0
73,5.0,6.0,15.0,0.0,150.15041075921962,-0.18319892396191154,3.0,g6t5,6.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,0.0,1.0,0.0
74,6.0,6.0,12.0,1.0,102.24504555181254,0.597055261252969,0.0,g6t6,6.0,6.0,4.0,0.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0
75,6.0,6.0,17.0,0.0,153.91943983994025,0.597055261252969,0.0,g6t6,6.0,6.0,4.0,0.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0
76,7.0,6.0,8.0,1.0,101.460804327383,0.8468920757710264,0.0,g6t7,6.0,7.0,1.0,4.0,0.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,0.0
77,7.0,6.0,9.0,0.0,168.23803687672537,0.8468920757710264,0.0,g6t7,6.0,7.0,1.0,4.0,0.0,5.0,4.0,4.0,3.0,5.0,0.0,1.0,0.0
78,8.0,6.0,14.0,1.0,97.12746481422947,-0.3755014384006828,2.0,g6t8,6.0,8.0,5.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0
79,8.0,6.0,23.0,0.0,158.3442365893586,-0.45376106339338157,4.0,g6t8,6.0,8.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,0.0,0.0,1.0
80,9.0,6.0,10.0,1.0,100.62507860127651,0.46811474742586734,1.0,g6t9,6.0,9.0,2.0,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,4.0,2.0
81,9.0,6.0,6.0,0.0,132.24659886005006,0.4259607074181372,4.0,g6t9,6.0,9.0,2.0,3.0,0.0,4.0,4.0,5.0,4.0,3.0,0.0,1.0,1.0
82,10.0,6.0,9.0,1.0,104.72349438752012,-0.4085654215525212,0.0,g6t10,6.0,10.0,1.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,0.0,0.0,0.0
83,10.0,6.0,15.0,0.0,168.91922693133927,0.7415483774403426,2.0,g6t10,6.0,10.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,0.0,0.0
